"District_Name","FIR_Year","FIR_Stage","UnitName","Male","Female","Boy","Girl","FIR_Type","Accused_Count","Arrested_Count","Latitude","Longitude"
"DEMO Central District","2022","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","14.009","76.009"
"DEMO Central District","2022","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","14.09","76.1"
"DEMO Central District","2022","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO Central District","2022","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","14.012","76.012"
"DEMO Central District","2022","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","14.093","76.103"
"DEMO Central District","2022","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","14.174","76.194"
"DEMO Central District","2022","Dis/Acq","DEMO Station 1","0","1","1","0","Heinous","4","0","14.015","76.015"
"DEMO Central District","2022","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","14.096","76.106"
"DEMO Central District","2022","Convicted","DEMO Station 3","2","0","0","0","Non Heinous","2","2","14.177","76.197"
"DEMO Central District","2022","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","14.018","76.018"
"DEMO Central District","2022","Dis/Acq","DEMO Station 2","1","2","0","0","Non Heinous","4","4","14.099","76.109"
"DEMO Central District","2022","Pending Trial","DEMO Station 3","2","0","1","0","Non Heinous","1","0","14.18","76.2"
"DEMO Central District","2022","Convicted","DEMO Station 1","0","1","0","1","Heinous","2","0","14.021","76.021"
"DEMO Central District","2022","Undetected","DEMO Station 2","","","0","0","Non Heinous","3","2","",""
"DEMO Central District","2022","Dis/Acq","DEMO Station 3","2","0","0","0","Non Heinous","4","3","14.183","76.203"
"DEMO Central District","2023","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO Central District","2023","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","14.0811","76.091"
"DEMO Central District","2023","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","14.1621","76.182"
"DEMO Central District","2023","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","14.0031","76.003"
"DEMO Central District","2023","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","14.0841","76.094"
"DEMO Central District","2023","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","14.1651","76.185"
"DEMO Central District","2023","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","14.0061","76.006"
"DEMO Central District","2023","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","14.0871","76.097"
"DEMO Central District","2023","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","14.1681","76.188"
"DEMO Central District","2023","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","14.0091","76.009"
"DEMO Central District","2023","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","14.0901","76.1"
"DEMO Central District","2023","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO Central District","2023","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","14.0121","76.012"
"DEMO Central District","2023","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","14.0931","76.103"
"DEMO Central District","2023","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","14.1741","76.194"
"DEMO Central District","2023","Dis/Acq","DEMO Station 1","0","1","1","0","Heinous","4","0","14.0151","76.015"
"DEMO Central District","2023","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","14.0961","76.106"
"DEMO Central District","2023","Convicted","DEMO Station 3","2","0","0","0","Non Heinous","2","2","14.1771","76.197"
"DEMO Central District","2024","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO Central District","2024","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","14.0812","76.091"
"DEMO Central District","2024","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","14.1622","76.182"
"DEMO Central District","2024","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","14.0032","76.003"
"DEMO Central District","2024","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","14.0842","76.094"
"DEMO Central District","2024","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","14.1652","76.185"
"DEMO Central District","2024","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","14.0062","76.006"
"DEMO Central District","2024","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","14.0872","76.097"
"DEMO Central District","2024","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","14.1682","76.188"
"DEMO Central District","2024","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","14.0092","76.009"
"DEMO Central District","2024","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","14.0902","76.1"
"DEMO Central District","2024","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO South District","2022","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO South District","2022","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","15.081","75.091"
"DEMO South District","2022","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","15.162","75.182"
"DEMO South District","2022","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","15.003","75.003"
"DEMO South District","2022","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","15.084","75.094"
"DEMO South District","2022","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","15.165","75.185"
"DEMO South District","2022","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","15.006","75.006"
"DEMO South District","2022","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","15.087","75.097"
"DEMO South District","2022","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","15.168","75.188"
"DEMO South District","2022","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","15.009","75.009"
"DEMO South District","2022","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","15.09","75.1"
"DEMO South District","2022","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO South District","2022","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","15.012","75.012"
"DEMO South District","2022","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","15.093","75.103"
"DEMO South District","2022","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","15.174","75.194"
"DEMO South District","2023","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO South District","2023","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","15.0811","75.091"
"DEMO South District","2023","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","15.1621","75.182"
"DEMO South District","2023","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","15.0031","75.003"
"DEMO South District","2023","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","15.0841","75.094"
"DEMO South District","2023","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","15.1651","75.185"
"DEMO South District","2023","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","15.0061","75.006"
"DEMO South District","2023","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","15.0871","75.097"
"DEMO South District","2023","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","15.1681","75.188"
"DEMO South District","2023","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","15.0091","75.009"
"DEMO South District","2023","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","15.0901","75.1"
"DEMO South District","2023","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO South District","2023","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","15.0121","75.012"
"DEMO South District","2023","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","15.0931","75.103"
"DEMO South District","2023","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","15.1741","75.194"
"DEMO South District","2024","Pending Trial","DEMO Station 1","","","1","1","Heinous","1","0","",""
"DEMO South District","2024","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","15.0812","75.091"
"DEMO South District","2024","Undetected","DEMO Station 3","2","0","0","0","Non Heinous","3","2","15.1622","75.182"
"DEMO South District","2024","Dis/Acq","DEMO Station 1","0","1","0","0","Heinous","4","3","15.0032","75.003"
"DEMO South District","2024","Pending Trial","DEMO Station 2","1","2","0","0","Non Heinous","1","0","15.0842","75.094"
"DEMO South District","2024","Convicted","DEMO Station 3","2","0","1","0","Non Heinous","2","2","15.1652","75.185"
"DEMO South District","2024","Undetected","DEMO Station 1","0","1","0","0","Heinous","3","2","15.0062","75.006"
"DEMO South District","2024","Dis/Acq","DEMO Station 2","1","2","0","1","Non Heinous","4","2","15.0872","75.097"
"DEMO South District","2024","Pending Trial","DEMO Station 3","2","0","0","0","Non Heinous","1","0","15.1682","75.188"
"DEMO South District","2024","Convicted","DEMO Station 1","0","1","0","0","Heinous","2","0","15.0092","75.009"
"DEMO South District","2024","Undetected","DEMO Station 2","1","2","1","0","Non Heinous","3","2","15.0902","75.1"
"DEMO South District","2024","Dis/Acq","DEMO Station 3","","","0","0","Non Heinous","4","1","",""
"DEMO South District","2024","Pending Trial","DEMO Station 1","0","1","0","0","Heinous","1","0","15.0122","75.012"
"DEMO South District","2024","Convicted","DEMO Station 2","1","2","0","0","Non Heinous","2","1","15.0932","75.103"
"DEMO South District","2024","Undetected","DEMO Station 3","2","0","0","1","Non Heinous","3","2","15.1742","75.194"
